42217,100,0.01
42319,101,0.13
42421,101,0.20
42523,101,0.19
42626,102,0.14
42727,101,0.05
42829,101,0.24
42931,101,-0.40
43033,101,-0.81
43134,100,-1.75
43237,101,-4.61
43339,101,-3.94
43441,101,-4.57
43543,101,-0.02
43644,100,7.15
43747,102,13.20
43849,101,16.95
43951,101,19.38
44053,101,19.01
44154,100,19.64
44257,102,19.65
44358,100,19.11
44461,102,19.32
44563,101,19.51
44664,100,19.16
44767,102,19.06
44868,100,19.09
44971,102,19.03
45073,101,19.29
45174,100,19.03
45277,102,19.19
45378,100,19.21
45480,101,19.09
45582,101,19.15
45684,101,19.21
45787,102,19.27
45888,100,19.46
45990,101,19.85
46092,101,19.69
46194,101,18.95
46297,102,19.14
46398,100,19.07
46500,101,19.90
46602,101,19.56
46704,101,18.88
46806,101,19.40
46908,101,19.14
47010,101,19.21
47112,101,19.30
47214,101,19.05
47315,100,19.30
47418,102,19.06
47520,101,19.30
47622,102,19.11
47724,101,19.41
47825,100,19.18
47928,102,19.27
48029,100,19.21
48132,102,19.64
48234,101,19.58
48335,100,19.52
48438,102,18.78
48539,100,19.28
48642,102,18.90
48744,101,19.10
48845,101,18.97
48948,102,19.08
49049,100,19.11
49152,102,19.50
49253,100,18.77
49355,101,19.14
49458,102,19.21
49559,100,19.11
49661,101,19.09
49763,101,19.08
49865,101,19.22
49968,102,19.00
50069,100,19.18
50171,101,19.07
50273,101,19.07
50375,101,19.16
50477,101,19.13
50579,101,19.13
50681,101,19.03
50783,101,19.14
50885,101,19.24
50987,101,19.23
51089,101,19.03
51191,101,19.20
51293,101,18.97
51395,101,19.13
51496,100,19.00
51599,102,19.05
51700,100,18.99
51803,102,19.18
51905,101,19.18
52006,100,19.10
52109,102,19.08
52210,100,18.93
52313,102,19.20
52415,101,18.99
52516,100,19.02
52619,102,19.03
52720,100,19.12
52823,102,19.06
52924,100,19.16
53026,101,19.10
53129,102,19.20
53230,100,19.09
53332,101,19.05
53434,100,19.15
53536,101,19.22
53639,102,18.95
53740,100,19.03
53842,101,19.04
53944,101,19.18
54046,101,19.11
54148,101,19.08
54250,101,19.24
54352,101,19.94
54454,101,18.83
54556,101,18.54
54658,101,20.11
54760,101,18.45
54862,101,13.78
54964,102,12.28
55066,101,11.38
55168,101,11.55
55270,101,1.75
55371,100,1.13
55474,102,1.15
55576,101,-1.41
55677,100,-4.13
55780,102,0.15
55881,100,0.14
55984,102,0.23
56086,101,0.03
56187,101,0.13
56290,102,0.18
56391,100,0.22
56494,102,0.17
56595,100,0.27
56697,101,0.19
56800,102,0.23
56901,100,0.45
57004,102,0.30
57105,100,0.12
57207,101,0.32
57310,102,0.10
57411,101,0.21
57513,101,0.15
57615,100,0.32
57717,101,0.09
57819,101,0.24
57921,101,0.19
58023,101,0.19
58125,101,0.21
58227,101,0.17
58329,101,0.19
58431,101,0.28
58533,101,0.12
58635,102,0.13
58737,101,0.15
58839,101,0.25
58941,101,0.26
59042,100,0.32
59145,102,0.27
59247,101,0.32
59348,100,0.24
59451,101,0.34
59552,100,0.27
59655,102,0.25
59757,101,0.29
59858,101,0.26
59961,102,0.26
60062,100,0.02
60165,102,0.00
60267,101,-0.05
60368,101,-1.43
60471,102,-3.53
60572,100,-0.32
60675,102,-0.14
60776,100,-0.02
60878,101,-0.15
60981,102,-0.18
61082,100,-0.40
61185,102,0.05
61286,100,-0.89
61388,101,-0.32
61491,102,-3.44
61592,101,-5.70
61694,101,-6.43
61796,100,-5.15
61898,101,-3.85
62000,101,-0.27
62102,101,7.04
62204,101,12.10
62306,101,16.10
62408,101,18.62
62510,101,19.53
62612,101,18.82
62714,101,19.43
62816,101,19.32
62918,101,18.58
63020,101,18.59
63122,101,18.30
63223,100,18.61
63326,102,19.00
63428,101,19.80
63529,100,19.28
63632,101,19.24
63733,100,19.48
63836,102,19.08
63938,101,19.54
64039,100,19.48
64142,102,19.75
64243,100,19.80
64346,102,18.92
64448,101,19.04
64549,101,19.42
64652,102,18.64
64753,100,18.51
64856,102,18.74
64957,100,18.52
65059,101,18.63
65162,102,18.65
65263,100,18.78
65366,102,18.99
65467,100,18.42
65569,101,18.70
65672,102,18.75
65773,100,18.77
65875,101,18.66
65977,101,18.61
66079,101,18.68
66182,102,18.78
66283,101,18.79
66385,101,18.86
66487,101,18.82
66589,101,18.76
66691,101,18.73
66793,101,18.82
66895,101,18.70
66997,101,18.74
67099,101,18.80
67201,101,18.71
67303,101,18.64
67405,101,18.66
67507,101,18.62
67609,101,18.79
67710,100,18.80
67813,101,18.70
67915,101,18.64
68017,102,18.69
68119,101,18.73
68220,100,18.71
68323,102,18.71
68424,100,18.73
68527,102,18.75
68629,101,18.74
68730,100,18.72
68833,102,18.85
68934,100,18.62
69037,102,18.66
69139,101,18.72
69240,100,18.73
69343,102,18.71
69444,100,18.62
69547,102,18.67
69648,100,18.76
69750,101,18.68
69853,102,18.69
69954,100,18.61
70056,101,18.64
70158,101,18.63
70260,101,18.65
70363,102,18.77
70464,100,18.71
70566,101,18.80
70668,101,18.68
70770,101,18.73
70872,101,18.66
70974,101,18.61
71076,101,18.65
71178,101,18.68
71280,101,18.60
71382,101,18.73
71484,101,18.80
71586,101,18.70
71688,101,18.65
71790,101,18.72
71891,100,18.67
71994,102,18.66
72095,100,18.65
72198,102,18.57
72300,101,18.66
72401,100,18.70
72504,102,18.66
72605,100,18.63
72708,102,18.61
72810,101,18.54
72911,101,18.68
73014,102,18.66
73115,100,18.81
73218,102,18.65
73319,100,18.82
73421,101,18.69
73524,102,18.68
73625,100,18.70
73728,102,18.58
73829,100,18.66
73931,101,18.62
74034,102,18.69
74135,101,18.70
74237,101,18.62
74339,101,18.73
74441,101,18.65
74543,101,18.65
74645,101,18.70
74747,101,18.69
74849,101,18.64
74951,101,18.72
75053,101,18.61
75155,101,18.70
75257,101,18.60
75359,102,18.47
75461,101,18.65
75563,101,18.72
75665,101,18.72
75766,100,18.65
75869,102,18.52
75971,101,18.67
76072,100,18.68
76175,102,18.65
76276,100,18.60
76379,102,18.52
76481,101,18.65
76582,101,18.63
76685,102,18.71
76786,100,18.64
76889,102,18.67
76990,100,18.69
77092,101,18.77
77195,102,18.77
77296,100,18.73
77399,102,18.60
77500,100,18.62
77602,101,18.62
77705,102,18.65
77806,101,18.58
77908,101,18.57
78010,100,18.67
78112,101,18.63
78214,101,18.80
78316,101,18.63
78418,101,18.72
78520,101,18.58
78622,101,18.66
78724,101,18.66
78826,101,18.67
78928,101,18.65
79030,101,18.78
79132,101,18.68
79234,101,18.67
79336,101,18.62
79437,100,18.69
79540,102,18.60
79642,101,18.71
79744,101,18.75
79846,101,18.64
79947,100,18.61
80050,102,18.83
80152,101,18.64
80253,100,18.68
80356,102,18.75
80457,100,18.72
80560,102,18.73
80662,101,18.68
80763,101,18.75
80866,102,18.60
80967,100,18.63
81070,102,18.69
81171,100,18.65
81273,101,18.64
81376,102,18.56
81477,100,18.63
81580,102,18.75
81681,100,18.68
81783,101,18.64
81886,102,18.60
81987,100,18.62
82089,101,18.58
82191,100,18.65
82293,101,18.71
82395,101,18.65
82497,101,18.63
82599,101,18.68
82701,101,18.65
82803,101,18.63
82905,101,18.69
83007,101,18.78
83109,101,18.75
83211,101,18.68
83313,101,18.69
83415,101,18.62
83517,101,18.65
83618,100,18.67
83721,102,18.66
83823,101,18.50
83924,100,18.67
84027,101,18.70
84128,100,18.79
84231,102,18.68
84333,101,18.70
84434,100,18.77
84537,102,18.66
84638,100,18.58
84741,102,18.72
84842,100,18.73
84944,101,18.66
85047,102,18.77
85148,100,18.65
85251,102,18.82
85352,100,18.74
85454,101,18.61
85557,102,18.54
85658,100,18.60
85761,102,18.56
85862,100,18.84
85964,101,18.76
86067,102,18.90
86168,101,19.54
86270,101,19.35
86372,100,19.56
86474,101,19.08
86576,101,17.36
86678,101,16.33
86780,101,15.27
86882,101,15.19
86984,101,14.43
87086,101,13.17
87188,101,12.32
87290,101,10.01
87392,101,0.80
87494,101,0.96
87596,101,0.32
87698,101,0.19
87799,100,-0.25
87902,102,-1.54
88004,101,-0.77
88105,100,-0.79
88208,101,-1.00
88309,100,-0.12
88412,102,0.23
88514,101,0.38
88615,101,0.35
88718,102,0.38
88819,100,0.42
88922,102,0.27
89023,100,0.32
89125,101,0.30
89228,102,0.30
89329,100,0.45
89432,102,0.25
89533,100,0.30
89635,101,0.36
89738,102,0.38
89839,101,0.16
89942,102,0.38
90043,100,0.33
90145,101,0.32
90248,102,0.32
90349,101,0.36
90451,101,0.32
90553,101,0.22
90655,101,0.35
90757,101,0.39
90859,101,0.37
90961,101,0.23
91063,101,0.26
91165,101,0.25
91267,101,0.32
91369,101,0.20
91471,101,0.34
91573,102,0.33
91675,101,0.35
91777,101,0.25
91879,101,0.29
91980,100,0.24
92083,102,0.22
92185,101,0.32
92286,100,0.30
92389,101,0.23
92490,100,0.26
92593,102,0.32
92695,101,0.24
92796,101,0.22
92899,102,0.18
93000,100,0.29
93103,102,0.26
93204,100,0.14
93306,101,0.23
93409,102,0.23
93510,100,0.23
93613,102,-0.01
93714,100,-0.16
93816,101,-0.68
93919,102,-1.49
94020,101,-5.64
94123,102,-7.92
94224,100,-10.70
94326,101,-13.35
94428,101,-13.42
94530,101,-15.52
94632,101,-18.03
94734,101,-14.69
94836,101,-5.63
94938,101,7.85
95040,101,15.92
95142,101,18.82
95244,101,19.63
95346,101,18.53
95448,101,18.40
95550,101,18.87
95651,100,19.04
95754,102,18.93
95856,101,18.81
95958,101,19.95
96060,101,18.98
96161,100,19.11
96264,102,19.36
96366,101,19.34
96467,101,19.43
96570,102,19.41
96671,100,19.56
96774,102,19.54
96875,100,19.43
96977,101,19.56
97080,102,19.57
97181,100,19.53
97284,102,19.37
97385,100,19.46
97487,101,19.45
97590,102,19.35
97691,100,19.37
97794,102,19.33
97895,100,19.35
97997,101,19.44
98099,101,19.41
98201,101,19.38
98304,102,19.54
98405,100,19.35
98507,101,19.32
98609,101,19.33
98711,101,19.27
98813,101,19.29
98915,101,19.46
99017,101,19.25
99119,101,19.46
99221,101,19.31
99322,100,19.27
99425,102,19.24
99527,101,19.36
99629,101,19.36
99731,101,19.41
99832,100,19.36
99935,102,19.35
100037,101,19.44
100139,101,19.47
100241,101,19.49
100342,100,19.36
100445,102,19.35
100546,100,19.21
100648,101,19.48
100751,102,19.50
100852,100,19.38
100955,102,19.49
101056,100,19.20
101158,101,19.35
101261,102,19.31
101362,100,19.37
101465,102,19.39
101566,100,19.28
101668,101,19.43
101770,101,19.38
101872,101,19.28
101975,102,19.34
102076,100,19.36
102178,101,19.35
102280,101,19.29
102382,101,19.35
102484,101,19.36
102586,100,19.24
102688,101,19.25
102790,101,19.38
102892,101,19.41
102994,101,19.39
103096,101,19.34
103198,101,19.41
103300,101,19.38
103402,101,19.23
103503,100,19.37
103606,102,19.33
103708,101,19.29
103810,101,19.33
103912,101,19.45
104013,100,19.33
104116,102,19.32
104218,101,19.38
104320,101,19.28
104422,101,19.39
104523,100,19.39
104626,102,19.42
104727,100,19.35
104829,101,19.31
104932,102,19.39
105033,100,19.32
105136,102,19.36
105237,100,19.37
105339,101,19.29
105442,102,19.37
105543,100,19.41
105646,102,19.33
105747,100,19.29
105849,101,19.34
105952,102,19.36
106053,100,19.37
